Training_ID,Employee_ID,Employee_Name,Department,Area,Training_Course,Training_Type,Course_Category,Scheduled_Date,Completed_Date,Status,Trainer,Score_Percent,Pass_Fail,Expiration_Date,Notes
TRN-2025-0901,E1042,Marcus Chen,Maintenance,Line 1,LOTO Authorized Person,Annual Refresher,Safety,2025-09-03,2025-09-03,Completed,J. Patterson,92,Pass,2026-09-03,
TRN-2025-0902,E1087,David Kowalski,Maintenance,Line 2,LOTO Authorized Person,Annual Refresher,Safety,2025-09-03,2025-09-03,Completed,J. Patterson,88,Pass,2026-09-03,
TRN-2025-0903,E1156,Angela Torres,Production,Line 3,PPE Requirements,Annual Refresher,Safety,2025-09-04,2025-09-04,Completed,M. Williams,95,Pass,2026-09-04,
TRN-2025-0904,E1203,Brian Mitchell,Production,Line 3,Housekeeping Standards,Initial,Safety,2025-09-05,2025-09-05,Completed,M. Williams,90,Pass,2027-09-05,New hire orientation
TRN-2025-0905,E1089,Jennifer Walsh,Production,Line 1,Hearing Conservation,Annual Refresher,Safety,2025-09-08,2025-09-08,Completed,M. Williams,100,Pass,2026-09-08,Audiogram completed same day
TRN-2025-0906,E1034,Robert Hernandez,Logistics,Receiving/Shipping,Forklift Operator,Recertification,Safety,2025-09-09,2025-09-09,Completed,T. Jackson,94,Pass,2028-09-09,3-year certification
TRN-2025-0907,E1145,Sarah Kim,Production,Line 2,Robot Cell Entry,Annual Refresher,Safety,2025-09-10,2025-09-10,Completed,J. Patterson,86,Pass,2026-09-10,
TRN-2025-0908,E1067,Michael Brown,Maintenance,Line 1,Electrical Safety Qualified,Annual Refresher,Safety,2025-09-11,2025-09-11,Completed,J. Patterson,91,Pass,2026-09-11,Arc flash awareness included
TRN-2025-0909,E1178,Lisa Patel,Production,Line 2,Machine Guarding Awareness,Initial,Safety,2025-09-12,2025-09-12,Completed,M. Williams,88,Pass,2026-09-12,Interlock bypass procedure reviewed
TRN-2025-0910,E1023,Carlos Mendez,Maintenance,Line 3,Jam Clearing Authorized,Annual Refresher,Safety,2025-09-15,2025-09-15,Completed,J. Patterson,90,Pass,2026-09-15,
